Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,2,3,10.0,606009.4,13637.0,0.0,0.0,0
1,3,3,10.02540540540542,605987.6,13637.0,0.0,0.0,136
2,3,3,10.050804356464594,607579.2,13637.0,0.0,0.0,95
3,3,3,10.02540540540542,608431.8,13637.0,0.0,0.0,114
4,1,3,10.050804356464594,609223.4,13637.0,0.0,0.0,0
5,2,3,10.02540540540542,606054.2,13637.0,0.0,0.0,5
6,2,3,10.050804356464594,606076.6,13637.0,0.0,0.0,4
7,2,3,10.02540540540542,609246.0,13637.0,0.0,0.0,3
8,1,3,10.050804356464594,609267.2,13637.0,0.0,0.0,0
9,2,3,10.0,608410.4,13637.0,0.0,0.0,4
10,2,2,10.02540540540542,606097.8,13637.0,0.0,0.0,4
11,2,3,10.02540540540542,606121.4,13637.0,0.0,0.0,4
12,1,1,10.0,607502.6,13637.0,0.0,0.0,0
13,2,2,10.02540540540542,606031.4,13637.0,0.0,0.0,4
14,3,3,10.0,606168.0,13637.0,0.0,0.0,116
15,2,3,10.02540540540542,606145.2,13637.0,0.0,0.0,5
16,1,3,10.02540540540542,608433.2,13637.0,0.0,0.0,0
17,2,3,10.02540540540542,606009.4,13637.0,0.0,0.0,3
18,1,2,10.0,607523.8,13637.0,0.0,0.0,0
19,1,2,10.02540540540542,607557.8,13637.0,0.0,0.0,0
