Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,1




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,10.089769139260426,304030.6,13637.0,0.0,0.0,0
1,3,3,10.08203724419939,303146.4,13637.0,0.0,0.0,199
2,3,3,10.082090050973816,304065.4,13637.0,0.0,0.0,108
3,3,3,10.078699601067024,304095.8,13637.0,0.0,0.0,137
4,3,3,10.084061682592214,303428.4,13637.0,0.0,0.0,162
5,3,3,10.079774920589253,304120.0,13637.0,0.0,0.0,139
6,3,3,10.079043948549403,304629.6,13637.0,0.0,0.0,101
7,3,3,10.078614168074793,304622.4,13637.0,0.0,0.0,117
8,3,3,10.077017660364307,304967.4,13637.0,0.0,0.0,81
9,3,3,10.082449391555889,304642.6,13637.0,0.0,0.0,118
10,3,3,10.07681202054012,304908.8,13637.0,0.0,0.0,89
11,3,3,10.079257729412857,305165.4,13637.0,0.0,0.0,86
12,3,3,10.07936542796009,304667.8,13637.0,0.0,0.0,130
13,3,3,10.084958721140417,304133.4,13637.0,0.0,0.0,114
14,3,3,10.080878877066565,305140.4,13637.0,0.0,0.0,84
15,3,3,10.082507771061215,305262.4,13637.0,0.0,0.0,71
16,3,3,10.084864843225871,305184.0,13637.0,0.0,0.0,133
17,3,3,10.08029078455945,303385.8,13637.0,0.0,0.0,168
18,2,2,10.04217310098125,305329.4,13637.0,0.0,0.0,87
19,2,2,10.039058178083739,303768.6,13637.0,0.0,0.0,87
