Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,1




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
\hline 0 &	3 & 3 & 10.090 & 304030.6 & 0.0 & 0.0 &	0	\\
\hline 1 &	3 & 3 & 10.082 & 303146.4 & 0.0 & 0.0 &	199	\\
\hline 2 &	3 & 3 & 10.082 & 304065.4 & 0.0 & 0.0 &	108	\\
\hline 3 &	3 & 3 & 10.079 & 304095.8 & 0.0 & 0.0 &	137	\\
\hline 4 &	3 & 3 & 10.084 & 303428.4 & 0.0 & 0.0 &	162	\\
\hline 5 &	3 & 3 & 10.080 & 304120.0 & 0.0 & 0.0 &	139	\\
\hline 6 &	3 & 3 & 10.079 & 304629.6 & 0.0 & 0.0 &	101	\\
\hline 7 &	3 & 3 & 10.079 & 304622.4 & 0.0 & 0.0 &	117	\\
\hline 8 &	3 & 3 & 10.077 & 304967.4 & 0.0 & 0.0 &	81	\\
\hline 9 &	3 & 3 & 10.082 & 304642.6 & 0.0 & 0.0 &	118	\\
\hline 10 &	3 & 3 & 10.077 & 304908.8 & 0.0 & 0.0 &	89	\\
\hline 11 &	3 & 3 & 10.079 & 305165.4 & 0.0 & 0.0 &	86	\\
\hline 12 &	3 & 3 & 10.079 & 304667.8 & 0.0 & 0.0 &	130	\\
\hline 13 &	3 & 3 & 10.085 & 304133.4 & 0.0 & 0.0 &	114	\\
\hline 14 &	3 & 3 & 10.081 & 305140.4 & 0.0 & 0.0 &	84	\\
\hline 15 &	3 & 3 & 10.083 & 305262.4 & 0.0 & 0.0 &	71	\\
\hline 16 &	3 & 3 & 10.085 & 305184.0 & 0.0 & 0.0 &	133	\\
\hline 17 &	3 & 3 & 10.080 & 303385.8 & 0.0 & 0.0 &	168	\\
\hline 18 &	2 & 2 & 10.042 & 305329.4 & 0.0 & 0.0 &	87	\\
\hline 19 &	2 & 2 & 10.039 & 303768.6 & 0.0 & 0.0 &	87	\\
