Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,1




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,10.100756614989166,312187.0,13637.0,0.0,0.0,0
1,3,3,10.097740406977737,312112.0,13637.0,0.0,0.0,8
2,3,3,10.09921168655299,312203.0,13637.0,0.0,0.0,8
3,3,3,10.09872150574364,312201.2,13637.0,0.0,0.0,8
4,3,3,10.09923899995181,312135.2,13637.0,0.0,0.0,8
5,3,3,10.098912783493866,312194.4,13637.0,0.0,0.0,8
6,3,3,10.098032643576566,312261.2,13637.0,0.0,0.0,8
7,3,3,10.098024970419038,312268.4,13637.0,0.0,0.0,8
8,3,3,10.097767231281578,312316.4,13637.0,0.0,0.0,8
9,3,3,10.09813808331833,312295.6,13637.0,0.0,0.0,8
10,3,3,10.097718555630289,312309.6,13637.0,0.0,0.0,8
11,3,3,10.097902455628924,312355.0,13637.0,0.0,0.0,8
12,3,3,10.098433912722122,312274.8,13637.0,0.0,0.0,8
13,3,3,10.098402771170367,312174.4,13637.0,0.0,0.0,8
14,3,3,10.097268253453306,312359.0,13637.0,0.0,0.0,8
15,3,3,10.097760331678511,312378.2,13637.0,0.0,0.0,8
16,3,3,10.096569206658607,312368.6,13637.0,0.0,0.0,8
17,3,3,10.098484536740727,312079.2,13637.0,0.0,0.0,8
18,2,2,10.0486633640128,312400.6,13637.0,0.0,0.0,8
19,2,2,10.049516002255674,312128.2,13637.0,0.0,0.0,8
