Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,4




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,10.099449889851261,312279.6,13637.0,0.0,0.0,0
1,3,3,10.097368762354435,312211.0,13637.0,0.0,0.0,8
2,3,3,10.098739768763927,312301.4,13637.0,0.0,0.0,8
3,3,3,10.099496735844584,312286.6,13637.0,0.0,0.0,8
4,3,3,10.099508207585949,312208.4,13637.0,0.0,0.0,8
5,3,3,10.097946657869526,312254.6,13637.0,0.0,0.0,8
6,3,3,10.098066958680995,312346.0,13637.0,0.0,0.0,8
7,3,3,10.098571671532458,312356.0,13637.0,0.0,0.0,8
8,3,3,10.098164492632947,312414.0,13637.0,0.0,0.0,8
9,3,3,10.099368684092605,312405.0,13637.0,0.0,0.0,8
10,2,2,10.04825814737028,312424.2,13637.0,0.0,0.0,8
11,3,3,10.096954662764194,312471.8,13637.0,0.0,0.0,8
12,1,1,10.0,312662.8,13637.0,0.0,0.0,0
13,2,2,10.049513684180086,312194.0,13637.0,0.0,0.0,8
14,3,3,10.048122935215321,312590.0,13637.0,0.0,0.0,8
15,3,3,10.098422162694401,312531.0,13637.0,0.0,0.0,8
16,3,3,10.09692433174115,312495.6,13637.0,0.0,0.0,8
17,3,3,10.098734101622691,312112.4,13637.0,0.0,0.0,8
18,2,2,10.04902581370111,312565.2,13637.0,0.0,0.0,8
19,2,2,10.049633089413817,312191.2,13637.0,0.0,0.0,8
