Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,2,3,10.0,313388.0,13637.0,0.0,0.0,0
1,3,3,10.050516087955232,313270.8,13637.0,0.0,0.0,8
2,3,3,10.099261296527303,313374.8,13637.0,0.0,0.0,8
3,3,3,10.049264200842432,313466.4,13637.0,0.0,0.0,8
4,1,3,10.063940628462309,313537.2,13637.0,0.0,0.0,0
5,2,3,10.050218364359717,312883.2,13637.0,0.0,0.0,8
6,2,3,10.094216661914517,313004.4,13637.0,0.0,0.0,8
7,2,3,10.025877535889695,313538.8,13637.0,0.0,0.0,8
8,1,3,10.074355364298903,313603.4,13637.0,0.0,0.0,0
9,2,3,10.0,313445.6,13637.0,0.0,0.0,8
10,2,2,10.050097967622568,313103.8,13637.0,0.0,0.0,8
11,2,3,10.049918499755233,313191.8,13637.0,0.0,0.0,8
12,1,1,10.0,313433.6,13637.0,0.0,0.0,0
13,2,2,10.05024162019182,312763.2,13637.0,0.0,0.0,8
14,3,3,10.0,313364.4,13637.0,0.0,0.0,8
15,2,3,10.050361927995185,313276.8,13637.0,0.0,0.0,8
16,1,3,10.033212021013815,313504.8,13637.0,0.0,0.0,0
17,2,3,10.050269152339503,312655.0,13637.0,0.0,0.0,8
18,1,2,10.0,313432.8,13637.0,0.0,0.0,0
19,1,2,10.022466300515767,313344.0,13637.0,0.0,0.0,0
