Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size

\hline 0 &2 &3 &10.000 &313388.0 &0.0 &0.0 &0 \\
\hline 1 &3 &3 &10.051 &313270.8 &0.0 &0.0 &8 \\
\hline 2 &3 &3 &10.099 &313374.8 &0.0 &0.0 &8 \\
\hline 3 &3 &3 &10.049 &313466.4 &0.0 &0.0 &8 \\
\hline 4 &1 &3 &10.064 &313537.2 &0.0 &0.0 &0 \\
\hline 5 &2 &3 &10.050 &312883.2 &0.0 &0.0 &8 \\
\hline 6 &2 &3 &10.094 &313004.4 &0.0 &0.0 &8 \\
\hline 7 &2 &3 &10.026 &313538.8 &0.0 &0.0 &8 \\
\hline 8 &1 &3 &10.074 &313603.4 &0.0 &0.0 &0 \\
\hline 9 &2 &3 &10.000 &313445.6 &0.0 &0.0 &8 \\
\hline 10 &2 &2 &10.050 &313103.8 &0.0 &0.0 &8 \\
\hline 11 &2 &3 &10.050 &313191.8 &0.0 &0.0 &8 \\
\hline 12 &1 &1 &10.000 &313433.6 &0.0 &0.0 &0 \\
\hline 13 &2 &2 &10.050 &312763.2 &0.0 &0.0 &8 \\
\hline 14 &3 &3 &10.000 &313364.4 &0.0 &0.0 &8 \\
\hline 15 &2 &3 &10.050 &313276.8 &0.0 &0.0 &8 \\
\hline 16 &1 &3 &10.033 &313504.8 &0.0 &0.0 &0 \\
\hline 17 &2 &3 &10.050 &312655.0 &0.0 &0.0 &8 \\
\hline 18 &1 &2 &10.000 &313432.8 &0.0 &0.0 &0 \\
\hline 19 &1 &2 &10.022 &313344.0 &0.0 &0.0 &0 \\
