Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,1,3,10.0,313290.2,13637.0,0.0,0.0,0
1,2,3,10.100483715811368,313290.2,13637.0,0.0,0.0,8
2,2,3,10.067577470376195,314082.4,13637.0,0.0,0.0,8
3,2,3,10.100554111594573,313978.2,13637.0,0.0,0.0,8
4,2,3,10.072585495131998,313870.2,13637.0,0.0,0.0,8
5,2,3,10.100173438508433,313753.6,13637.0,0.0,0.0,8
6,2,3,10.069185034617544,314509.2,13637.0,0.0,0.0,8
7,2,3,10.085310915538196,314400.6,13637.0,0.0,0.0,8
8,2,3,10.100411730205174,314296.8,13637.0,0.0,0.0,8
9,2,3,10.09928371551853,314200.6,13637.0,0.0,0.0,8
10,2,2,10.050054704631007,314613.8,13637.0,0.0,0.0,8
11,2,3,10.085579682029092,314703.8,13637.0,0.0,0.0,8
12,1,1,10.0,315115.4,13637.0,0.0,0.0,0
13,2,2,10.05015928498162,313645.0,13637.0,0.0,0.0,8
14,2,3,10.043024884604641,315046.6,13637.0,0.0,0.0,8
15,2,3,10.098700343231634,314796.6,13637.0,0.0,0.0,8
16,2,3,10.070583064930911,314889.2,13637.0,0.0,0.0,8
17,2,3,10.090106125141254,313525.2,13637.0,0.0,0.0,8
18,2,2,10.04932353680079,314972.6,13637.0,0.0,0.0,8
19,2,2,10.050349023878965,313408.4,13637.0,0.0,0.0,8
