Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,2




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,12.91105897498658,681850.0,13637.0,0.0,0.0,0
1,3,3,12.550112405863736,681847.0,13636.81,0.19000000000050932,0.0013932683141490746,5
2,3,3,12.445678005852704,681989.0,13636.82,0.18000000000029104,0.0013199384028766668,6
3,3,3,12.51449522955873,682002.0,13636.8,0.2000000000007276,0.0014665982254214826,6
4,3,3,12.555651154691054,681861.5,13636.86,0.13999999999941792,0.0010266187577870347,5
5,3,3,12.550211668249853,682004.75,13636.8,0.2000000000007276,0.0014665982254214826,6
6,3,3,12.65645898111447,682119.5,13636.82,0.18000000000029104,0.0013199384028766668,6
7,3,3,12.654128871497383,682122.5,13636.77,0.22999999999956344,0.001686587959225368,5
8,3,3,12.673630115304704,682226.25,13636.84,0.15999999999985448,0.0011732785803318505,6
9,3,3,12.54378586438167,682122.0,13636.8,0.2000000000007276,0.0014665982254214826,5
10,3,3,12.701767898470987,682226.75,13636.81,0.19000000000050932,0.0013932683141490746,6
11,3,3,12.729729600319724,682299.5,13636.8,0.2000000000007276,0.0014665982254214826,5
12,3,3,12.54120282161729,682119.75,13636.85,0.1499999999996362,0.0010999486690594427,6
13,3,3,12.497229390734697,681991.0,13636.82,0.18000000000029104,0.0013199384028766668,6
14,3,3,12.717524529142624,682264.25,13636.7,0.2999999999992724,0.0021998973381188855,6
15,3,3,12.950079434836589,682351.25,13636.79,0.20999999999912689,0.0015399281366805522,5
16,3,3,12.726124331653237,682265.0,13636.7,0.2999999999992724,0.0021998973381188855,6
17,3,3,12.549705227669602,681848.5,13636.92,0.07999999999992724,0.0005866392901659253,5
18,2,2,11.488869916666665,682355.5,13634.28,2.719999999999345,0.0199457358656548,5
19,2,2,11.48501591666667,681966.5,13634.48,2.5200000000004366,0.018479137640246654,5
