Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,1




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,10.050804356464594,909870.4,13637.0,0.0,0.0,0
1,3,3,10.050804356464594,909826.0,13637.0,0.0,0.0,3
2,3,3,10.050804356464594,909848.8,13637.0,0.0,0.0,3
3,3,3,10.050804356464594,909866.4,13637.0,0.0,0.0,3
4,3,3,10.050804356464594,909848.2,13637.0,0.0,0.0,3
5,3,3,10.050804356464594,909893.2,13637.0,0.0,0.0,3
6,3,3,10.050804356464594,909915.2,13637.0,0.0,0.0,4
7,3,3,10.050804356464594,909911.2,13637.0,0.0,0.0,3
8,3,3,10.050804356464594,909917.4,13637.0,0.0,0.0,4
9,3,3,10.050804356464594,909893.0,13637.0,0.0,0.0,4
10,3,3,10.050804356464594,909952.2,13637.0,0.0,0.0,3
11,3,3,10.050804356464594,909959.0,13637.0,0.0,0.0,4
12,3,3,10.050804356464594,909935.8,13637.0,0.0,0.0,4
13,3,3,10.050804356464594,909892.2,13637.0,0.0,0.0,3
14,3,3,10.050804356464594,909979.4,13637.0,0.0,0.0,3
15,3,3,10.050804356464594,909963.8,13637.0,0.0,0.0,4
16,3,3,10.050804356464594,909940.6,13637.0,0.0,0.0,4
17,3,3,10.050804356464594,909870.0,13637.0,0.0,0.0,4
18,2,2,10.02540540540542,909985.6,13637.0,0.0,0.0,3
19,2,2,10.02540540540542,909870.2,13637.0,0.0,0.0,3
