Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,1,3,10.0,307208.4,13637.0,0.0,0.0,0
1,2,3,10.050804356464594,307208.4,13637.0,0.0,0.0,16
2,2,3,10.050804356464594,308647.4,13637.0,0.0,0.0,16
3,2,3,10.050804356464594,308450.6,13637.0,0.0,0.0,16
4,2,3,10.050804356464594,308260.4,13637.0,0.0,0.0,16
5,2,3,10.050804356464594,308057.8,13637.0,0.0,0.0,16
6,2,3,10.050804356464594,309385.0,13637.0,0.0,0.0,16
7,2,3,10.050804356464594,309192.6,13637.0,0.0,0.0,16
8,2,3,10.050804356464594,308994.2,13637.0,0.0,0.0,16
9,2,3,10.050804356464594,308828.0,13637.0,0.0,0.0,16
10,2,2,10.02540540540542,309581.0,13637.0,0.0,0.0,16
11,2,3,10.050804356464594,309762.4,13637.0,0.0,0.0,16
12,1,1,10.0,310556.6,13637.0,0.0,0.0,0
13,2,2,10.02540540540542,307836.6,13637.0,0.0,0.0,16
14,2,3,10.02540540540542,310432.2,13637.0,0.0,0.0,16
15,2,3,10.050804356464594,309933.2,13637.0,0.0,0.0,16
16,2,3,10.050804356464594,310105.8,13637.0,0.0,0.0,16
17,2,3,10.050804356464594,307635.4,13637.0,0.0,0.0,16
18,2,2,10.02540540540542,310276.0,13637.0,0.0,0.0,16
19,2,2,10.02540540540542,307424.2,13637.0,0.0,0.0,16
